Date,Open,High,Low,Close,Adj Close,Volume
2019-01-31,249.979996,249.979996,249.979996,249.979996,232.607071,0
2019-02-01,250.229996,250.229996,250.229996,250.229996,232.839706,0
2019-02-04,251.929993,251.929993,251.929993,251.929993,234.421539,0
2019-02-05,253.119995,253.119995,253.119995,253.119995,235.528839,0
2019-02-06,252.580002,252.580002,252.580002,252.580002,235.026352,0
2019-02-07,250.259995,250.259995,250.259995,250.259995,232.867569,0
2019-02-08,250.509995,250.509995,250.509995,250.509995,233.100189,0
2019-02-11,250.690002,250.690002,250.690002,250.690002,233.267685,0
2019-02-12,253.940002,253.940002,253.940002,253.940002,236.291809,0
2019-02-13,254.720001,254.720001,254.720001,254.720001,237.017624,0
2019-02-14,254.139999,254.139999,254.139999,254.139999,236.477936,0
2019-02-15,256.929993,256.929993,256.929993,256.929993,239.074051,0
2019-02-19,257.329987,257.329987,257.329987,257.329987,239.446213,0
2019-02-20,257.839996,257.839996,257.839996,257.839996,239.920776,0
2019-02-21,256.940002,256.940002,256.940002,256.940002,239.083344,0
2019-02-22,258.600006,258.600006,258.600006,258.600006,240.627991,0
2019-02-25,258.959991,258.959991,258.959991,258.959991,240.962952,0
2019-02-26,258.750000,258.750000,258.750000,258.750000,240.767563,0
2019-02-27,258.649994,258.649994,258.649994,258.649994,240.674515,0
2019-02-28,258.000000,258.000000,258.000000,258.000000,240.069672,0
2019-03-01,259.790009,259.790009,259.790009,259.790009,241.735291,0
2019-03-04,258.790009,258.790009,258.790009,258.790009,240.804810,0
2019-03-05,258.500000,258.500000,258.500000,258.500000,240.534912,0
2019-03-06,256.829987,256.829987,256.829987,256.829987,238.980972,0
2019-03-07,254.789993,254.789993,254.789993,254.789993,237.082779,0
2019-03-08,254.279999,254.279999,254.279999,254.279999,236.608215,0
2019-03-11,258.010010,258.010010,258.010010,258.010010,240.079010,0
2019-03-12,258.779999,258.779999,258.779999,258.779999,240.795471,0
2019-03-13,260.609985,260.609985,260.609985,260.609985,242.498306,0
2019-03-14,260.459991,260.459991,260.459991,260.459991,242.358765,0
2019-03-15,261.769989,261.769989,261.769989,261.769989,243.577652,0
2019-03-18,262.750000,262.750000,262.750000,262.750000,244.489578,0
2019-03-19,262.720001,262.720001,262.720001,262.720001,244.461670,0
2019-03-20,260.510010,260.510010,260.510010,260.510010,243.756119,0
2019-03-21,263.359985,263.359985,263.359985,263.359985,246.422867,0
2019-03-22,258.369995,258.369995,258.369995,258.369995,241.753754,0
2019-03-25,258.179993,258.179993,258.179993,258.179993,241.575989,0
2019-03-26,260.029999,260.029999,260.029999,260.029999,243.307007,0
2019-03-27,258.829987,258.829987,258.829987,258.829987,242.184219,0
2019-03-28,259.799988,259.799988,259.799988,259.799988,243.091843,0
2019-03-29,261.559998,261.559998,261.559998,261.559998,244.738632,0
2019-04-01,264.589996,264.589996,264.589996,264.589996,247.573776,0
2019-04-02,264.600006,264.600006,264.600006,264.600006,247.583130,0
2019-04-03,265.170013,265.170013,265.170013,265.170013,248.116516,0
2019-04-04,265.779999,265.779999,265.779999,265.779999,248.687210,0
2019-04-05,267.019989,267.019989,267.019989,267.019989,249.847458,0
2019-04-08,267.299988,267.299988,267.299988,267.299988,250.109482,0
2019-04-09,265.760010,265.760010,265.760010,265.760010,248.668549,0
2019-04-10,266.709991,266.709991,266.709991,266.709991,249.557465,0
2019-04-11,266.720001,266.720001,266.720001,266.720001,249.566849,0
2019-04-12,268.510010,268.510010,268.510010,268.510010,251.241684,0
2019-04-15,268.350006,268.350006,268.350006,268.350006,251.091949,0
2019-04-16,268.489990,268.489990,268.489990,268.489990,251.222946,0
2019-04-17,267.899994,267.899994,267.899994,267.899994,250.670914,0
2019-04-18,268.329987,268.329987,268.329987,268.329987,251.073227,0
2019-04-22,268.609985,268.609985,268.609985,268.609985,251.335175,0
2019-04-23,271.000000,271.000000,271.000000,271.000000,253.571533,0
2019-04-24,270.399994,270.399994,270.399994,270.399994,253.010117,0
2019-04-25,270.309998,270.309998,270.309998,270.309998,252.925995,0
2019-04-26,271.579987,271.579987,271.579987,271.579987,254.114212,0
2019-04-29,271.880005,271.880005,271.880005,271.880005,254.394974,0
2019-04-30,272.149994,272.149994,272.149994,272.149994,254.647507,0
2019-05-01,270.109985,270.109985,270.109985,270.109985,252.738785,0
2019-05-02,269.549988,269.549988,269.549988,269.549988,252.214813,0
2019-05-03,272.170013,272.170013,272.170013,272.170013,254.666290,0
2019-05-06,270.980011,270.980011,270.980011,270.980011,253.552811,0
2019-05-07,266.510010,266.510010,266.510010,266.510010,249.370300,0
2019-05-08,266.089996,266.089996,266.089996,266.089996,248.977325,0
2019-05-09,265.380005,265.380005,265.380005,265.380005,248.312958,0
2019-05-10,266.459991,266.459991,266.459991,266.459991,249.323471,0
2019-05-13,260.029999,260.029999,260.029999,260.029999,243.307007,0
2019-05-14,262.149994,262.149994,262.149994,262.149994,245.290680,0
2019-05-15,263.730011,263.730011,263.730011,263.730011,246.769089,0
2019-05-16,266.160004,266.160004,266.160004,266.160004,249.042786,0
2019-05-17,264.630005,264.630005,264.630005,264.630005,247.611237,0
2019-05-20,262.839996,262.839996,262.839996,262.839996,245.936295,0
2019-05-21,265.079987,265.079987,265.079987,265.079987,248.032181,0
2019-05-22,264.339996,264.339996,264.339996,264.339996,247.339828,0
2019-05-23,261.209991,261.209991,261.209991,261.209991,244.411133,0
2019-05-24,261.609985,261.609985,261.609985,261.609985,244.785400,0
